AutorId;Autor
1;Achmatowa, Anna
2;Adiga, Aravind
3;Adunka, Evelyn
4;Ackroyd, Peter
5;Albee, Edward 
6;Alberto, Eliseo
7;Alejchem, Scholem
8;Alexander, Herbert
9;Allen, Woody
10;Allende, Isabel 
11;Almagor, Gila
12;Amis, Martin
13;Andreas-Salomé, Lou
14;Anonyma
15;Appelfeld, Aharon
16;Arafat, Suha
17;Arcan, Nelly
18;Arenas, Reinaldo
19;Arjouni, Jakob
20;Arnold, H.L. |  Detering, H.
21;Arnold, Heinz Ludwig 
22;Aron, Jean-Paul| Kempf, Roger
23;Asscher, Maarten 
24;Astre, Georges-Albert 
25;Atwood, Margaret
26;Auerbach, Jessica
27;Austen, Jane
28;Auster, Paul
29;Axelsson, Majgull
30;Axline, Virginia M. 
31;Bachmann, Ingeborg|  Jelinek, Elfriede
32;Baker, Nicholson 
33;Banbury, Jen
34;Banciu, Carmen Francesca 
35;Bandini, Pietro
36;Baricco, Alessandro
37;Barnes, Julian
38;Barth, Heinz
39;Bartlett Haas, Robert
40;Baum, Vicki
41;Becker, Jurek
42;Beckett, Samuel
43;Begley, Louis 
44;Beigbeder, Frederic
45;Belli, Gioconda 
46;Bello, Antoine
47;Bellow, Saul
48;Bender, Ernst (Hg.)
49;Bennett, Ronan
50;Bentz, Hans G. 
51;Berberova, Nina
52;Berkéwicz, Ulla
53;Berling, Peter
54;Bernhard, Thomas
55;Bibliothek der Meisterwerke
56;Bierce, Ambrose
57;Biller, Maxim 
58;Bioy Casares, Adolfo
59;Bjoernstad, Ketil
60;Blatter, Silvio
61;Boccaccio, Giovanni
62;Bodmer, Frederick 
63;Bohn, Volker
64;Bolano, Roberto
65;Borchert, Wolfgang
66;Bourdain, Anthony
67;Boyd, William
68;Bradbury, Ray
69;Brecht, Bertolt
70;Brett, Lily 
71;Briggs, Katharine| Michaelis, Ruth
72;Broks, Paul
73;Brown, James
74;Brown, Rita Mae 
75;Brumlik, Micha
76;Bryson, Bill
77;Büchner, Barbara
78;Büchner, Georg
79;Budnitz, Judy
80;Buford, Bill
81;Bukowski, Charles
82;Bukowski, Charles| Matt, Bernhard
83;Burchill, Julie
84;Burnett, Frances H.
85;Burroughs, Augusten
86;Burroughs, William S.
87;Buss, Louis 
88;Byatt, Antonia S.
89;Cabré, Jaume
90;Caldwell, Taylor
91;Camartin, Iso
92;Camus, Albert
93;Capote, Truman
94;Carle, Eric
95;Carol Oates, Joyce
96;Carroll, Lewis
97;Carver, Raymond
98;Casanova, Giacomo
99;Cavigelli, Franz| Senn, Fritz, v. Planta, Anna [Hrsg.]
100;Cechov, Anton
101;Celan, Paul
102;Chabon, Michael
103;Chacel, Rosa
104;Chase, Truddi
105;Christie, Agatha
106;Clark, Susanna
107;Claudel, Philippe 
108;Clinton, Hilary Rodham 
109;Coetzee, J.M.
110;Cooper, T
111;Corbeil, Carole
112;Cortázar, Julio
113;Cosic, Bora
114;Costello, Mark
115;Crick, Mark
116;Crosland, Margaret
117;Cruz Smith, Martin
118;Cunningham, Michael
119;Curtin, Michael
120;CUS
121;Dahl, Roald
122;Damerau, Burghard
123;Dannemann, Rüdiger
124;Danto, Arthur C.
125;Daschkowa, Polina
126;Davenport, Kiana
127;de Balzac, Honoré
128;de Beauvoir, Simone
129;de Graaf, Hermine
130;de Jong, Oek
131;de Moor, Margriet
132;de Saint-Exupéry, Antoine
133;DeCarlo, Andrea
134;DeCrescenzo, Luciano
135;Deissler, Alfons
136;DeLillo, Don
137;deWinter, Leon
138;Di Trocchio, Federico
139;Demirkan, Renan
140;Denby, David
141;Dichter, Wilhelm
142;Dickens, Charles
143;Didion, Joan
144;Diesel, Eugen
145;Dirks, Liane 
146;Djebar, Assia
147;Djian, Philippe
148;Doctorow, E.L.
149;Dorn, Thea
150;Dos Passos, John
151;Dostojewski, Fjodor M.
152;Doyle, Roddy
153;Doyle, Roddy bis McCourt, Frank (15 irische Autoren)
154;Drewermann, Eugen
155;Droysen, Johann Gustav 
156;Dufour, Pierre
157;Dumas, Alexandre
158;Duras, Marguerite 
159;Durlacher, Jessica
160;Dürrenmatt, Friedrich
161;Duve, Karen
162;Easton Ellis, Bret
163;Eberstadt, Fernanda
164;Eco, Umberto
165;Edelfeldt, Inger
166;Edwards, Jorge
167;Eggers, Dave
168;Eichborn
169;Eisenberg, Deborah
170;Eliade, Mircea
171;Endore, Guy
172;Enzensberger, Hans Magnus 
173;Erdrich, Louise
174;Esquivel, Laura
175;Esselborn-Krumbiegel, Helga
176;Estep, Maggie
177;Esterhazy, Peter
178;Eugenides, Jeffrey 
179;Evans, Nicholas 
180;Fadiman, Anne
181;Faldbakken, Matias
182;Falk, Sait
183;Farah, Nuruddin 
184;Fenelly, Tony
185;Fenyvesi, Charles
186;Feustel, Gotthard 
187;Fichte, Johann Gottlieb 
188;Fine, Anne
189;Fink, Michael 
190;Fischer Taschenbücher
191;Fitzgerald, Scott u. Zelda
192;Fitz-Simons, Foster
193;Flagg, Fannie
194;Flaubert, Gustave 
195;Forster, E.M.
196;Foster Wallace, David
197;Fox, Paula 
198;Franck, Norbert| Stary, Joachim
199;Franco, Jorge
200;Franzen, Jonathan 
