BestandId;Autor;Titel;Land;Genre
1;Achmatowa, Anna;Poem ohne Held - Erinnerungen an Anna Achmatowa;Russland;Materialien
2;Adiga, Aravind;Zwischen den Attentaten;Indien;Roman
3;Adunka, Evelyn;Der Raub der Bücher. Über Verschwinden und Vernichten von Bibliotheken in der NS-Zeit und ihre Restitution nach 1945;Österreich;Roman
4;Ackroyd, Peter;Das Tagebuch des Oscar Wilde;Grossbritannien;Roman
5;Albee, Edward ;Wer hat Angst vor Virginia Woolf?;USA;Theaterstück
6;Alberto, Eliseo;Die Geschichte von José;Kuba;Roman
7;Alejchem, Scholem;Tewje, der Milchmann/ Der Fortschritt in Kasrilewke;Ukraine;Roman
8;Alexander, Herbert;Achtung, Achtung! Hier ist der kleine Muck;Deutschland;Kinderbuch
9;Allen, Woody;Nebenwirkungen;USA;Erzählungen
10;Allen, Woody;Ohne Leit kein Freud;USA;Erzählungen
11;Allen, Woody;Wie du dir, so ich mir;USA;Erzählungen
12;Allende, Isabel ;Fortunas Tochter;Chile;Roman
13;Allende, Isabel ;Eine Rache;Chile;Roman
14;Allende, Isabel ;Von Liebe und Schatten;Chile;Roman
15;Allende, Isabel ;Aphrodite. Eine Feier der Sinne;Chile;Geschichten/Rezepte
16;Almagor, Gila;Auf dem Hügel unter dem Maulbeerbaum;Israel;Roman
17;Amis, Martin;Information;Grossbritannien;Roman
18;Amis, Martin;Gierig;Grossbritannien;Roman
19;Andreas-Salomé, Lou;Lebensrückblick;Deutschland;Biographie
20;Anonyma;Eine Frau in Berlin: Tagebuchaufzeichnungen vom 20. April bis 22. Juni 1945;Deutschland;Erfahrungsbericht
21;Appelfeld, Aharon;Zeit der Wunder;Israel;Roman
22;Appelfeld, Aharon;Tzili;Israel;Roman
23;Arafat, Suha;Ich bin eine Tochter Palästinas;Israel;Autobiographie
24;Arcan, Nelly;Hure;Frankreich;Roman
25;Arenas, Reinaldo;Bevor es Nacht wird;Kuba;Autobiographie
26;Arjouni, Jakob;Ein Mann, ein Mord;Deutschland;Roman
27;Arjouni, Jakob;Happy Birthday, Türke!;Deutschland;Roman
28;Arjouni, Jakob;Chez Max;Deutschland;Roman
29;Arnold, H.L. |  Detering, H.;Grundzüge der Literaturwissenschaft;Deutschland;Fachliteratur
30;Arnold, Heinz Ludwig ;"Text + Kritik; Die andere Sprache: Neue DDR-Literatur der 80er Jahre";Deutschland;Sonstiges - Literatur
31;Arnold, Heinz Ludwig ;"Text + Kritik; Bestandsaufnahme Gegenwartsliteratur (BDR, DDR, Österreich, Schweiz)";Deutschland;Sonstiges - Literatur
32;Aron, Jean-Paul| Kempf, Roger;Der sittliche Verfall;Frankreich;Essay
33;Asscher, Maarten ;Julia und der Balkon;Niederlande;Roman
34;Astre, Georges-Albert ;Hemingway ;Frankreich;Biographie
35;Atwood, Margaret;Der Report der Magd;Kanada;Roman
36;Atwood, Margaret;Gute Knochen;Kanada;Geschichten
37;Atwood, Margaret;Alias Grace;Kanada;Roman
38;Atwood, Margaret;Der lange Traum;Kanada;Roman
39;Atwood, Margaret;Verletzungen;Kanada;Roman
40;Atwood, Margaret;Moralische Unordnung;Kanada;Roman
41;Atwood, Margaret;Die Giftmischer;Kanada;Stories
42;Atwood, Margaret;Tipps für die Wildnis;Kanada;Stories
43;Auerbach, Jessica;Aber Mutter weinet sehr...;USA;Roman
44;Austen, Jane;Vernunft und Gefühl;Grossbritannien;Roman
