GenreID;Genre
1;Autobiographie
2;Autobiographischer Roman
3;Ballade/Novellen
4;Betrachtungen
5;Biographie
6;Biographischer Roman
7;Briefe
8;Briefwechsel
9;Collection
10;Drama
11;Epos
12;Erfahrungen
13;Erfahrungen/Reise
14;Erfahrungsbericht
15;Erinnerungen
16;Erzählung
17;Erzählungen
18;Essay
19;Essays
20;Fachliteratur
21;Filmbuch
22;Gedichte
23;Gedichtsammlung
24;Geschichten
25;Geschichten/Rezepte
26;Interviews
27;Karten
28;Kinderbuch
29;Kolumnen
30;Kurzgeschichten
31;Lehrbuch
32;Lexika
33;Lexikon
34;Literaturkritik
35;Lyrik
36;Materialien
37;Novelle
38;Novellen
39;Portrait/Biographie
40;Portraits
41;Reisebericht
42;Reiseberichte
43;Reiseliteratur
44;Roman
45;Roman (zum Film)
46;Romane
47;Romane/Erzählungen
48;Sachbuch
49;Sachroman
50;Sagen
51;Sammlung
52;Sekundärliteratur
53;Short stories
54;Sonstiges
56;Sonstiges - Geschichte
57;Sonstiges - Geschichte 
58;Sonstiges - Kunst
59;Sonstiges - Literatur
60;Sonstiges - Philosophie 
61;Stories
62;Stücke/Sonette
63;Studienliteratur
64;Tagebuch
65;Texte
66;Theaterstück
67;Theaterstücke
68;Vorlesungen

