LandId;Land
1;Albanien
2;Algerien
3;Argentinien
4;Australien
5;Bulgarien
6;Chile
7;China
8;Dänemark
9;Deutschland
10;Deutschland (Island)
11;Deutschland/Grossbritannien
12;Finnland
13;Frankreich
14;Frankreich (Indochina)
15;Griechenland
16;Grossbritannien
17;Indien
18;International
19;Irland
20;Irland-England
21;Island
22;Israel
23;Italien
24;Japan
25;Kanada
26;Kolumbien
27;Kroatien
28;Kuba
29;Litauen
30;Mazedonien
31;Mexiko
32;Neuseeland
33;Niederlande
34;Niederlande (Surinam)
35;Norwegen
36;Österreich
37;Österreich-Ungarn
38;Polen
39;Portugal
40;Rumänien
41;Russland
42;Schottland
43;Schweden
44;Schweiz
45;Serbien
46;Slowenien
47;Somalia
48;Spanien
49;Sri Lanka
50;Südafrika
51;Tibet/USA
52;Tschechien
53;Türkei
54;Ukraine
55;Ungarn
56;USA
57;USA (China)
58;USA (Korea)
59;USA (Kuba)
60;USA (Mexiko)
61;USA (Portugal)
